title,company,location,link
현대무벡스 경력사원 상시,현대무벡스,서울 종로구,https://kr.indeed.com/rc/clk?jk=d4c52ba1a491a8b9&fccid=2e754711a96724c8&vjs=3
데이터 분석/처리 플랫폼 개발,NHN,성남 판교역,https://kr.indeed.com/rc/clk?jk=46975ee759c13b8a&fccid=a72ebaf825acf7af&vjs=3
기술 인턴 인공지능 응용 연구/개발 인턴,써로마인드로보틱스,서울 관악구,https://kr.indeed.com/rc/clk?jk=71c47ac87bb4087e&fccid=230e414668234579&vjs=3
[브랜디] 경영본부/사업본부/개발직군 신입 및 경력,브랜디,서울 강남구,https://kr.indeed.com/rc/clk?jk=cd5ca556791f1f79&fccid=2993437959ad6c7a&vjs=3
[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young,대한민국,https://kr.indeed.com/rc/clk?jk=e934bb33ef71dacb&fccid=1544766d4c2915b0&vjs=3
"웹개발, Python 외 신입/경력 계약직",쿠바로엠앤씨,서울 강서구,https://kr.indeed.com/rc/clk?jk=84fd9f9deb6105b0&fccid=e29423b79ddda10d&vjs=3
"[대성] 개발자 채용 | 앱개발,Java,Python,objective",대성 관심기업,대한민국,https://kr.indeed.com/rc/clk?jk=5d4ef5faadd96b30&fccid=4b92994439d7bc47&vjs=3
퀀트 개발자 (Quant Developer),ATZ Inc.,서울,https://kr.indeed.com/company/ATZ/jobs/%ED%80%80%ED%8A%B8-%EA%B0%9C%EB%B0%9C%EC%9E%90-27ea6faf6a8516fd?fccid=54c84e9e653ca7ce&vjs=3
(광주취업맛집1위)2021년도 국비 기술교육생,대한상공회의소 광주인력개발원,광주 광산구,https://kr.indeed.com/rc/clk?jk=b95d00f1145e5ef3&fccid=4746daf5fe536ea2&vjs=3
"금융 데이터 분석 엔진, 로보어드바이저 개발자",에스비씨엔,서울 영등포구,https://kr.indeed.com/rc/clk?jk=649ccf047c868778&fccid=7c743c071619900d&vjs=3
웹 개발자 경력 Java/Php/Javascript/Python/Html/CSS 등 프로젝트 경력자,바이오브레인,대전 서구,https://kr.indeed.com/rc/clk?jk=941687b6bbb14d81&fccid=a3e2170fc2a54ba6&vjs=3
추천 시스템 연구/개발,카카오,성남 판교역,https://kr.indeed.com/rc/clk?jk=be6c1f03fa566f8e&fccid=32b9af632cf3b9f9&vjs=3
